d,BD6,DF132,LD12,KD42
401,6490,7125,6351,7140
402,6523,7160,6384,7178
403,6557,7195,6417,7215
404,6591,7231,6449,7250
405,6622,7266,6479,7283
406,6651,7299,6508,7315
407,6677,7331,6535,7345
408,6700,7362,6561,7373
409,6723,7391,6585,7400
410,6745,7419,6609,7426
411,6768,7446,6632,7451
412,6792,7475,6654,7476
413,6816,7503,6677,7501
414,6840,7533,6700,7526
415,6864,7563,6724,7550
416,6888,7593,6747,7574
417,6913,7621,6769,7598
418,6937,7646,6790,7620
419,6963,7670,6810,7643
420,6989,7691,6830,7665
421,7015,7711,6851,7687
422,7042,7732,6872,7710
423,7069,7754,6896,7734
424,7096,7779,6921,7759
425,7123,7806,6948,7786
426,7149,7835,6976,7815
427,7174,7865,7006,7847
428,7199,7895,7037,7880
429,7224,7925,7069,7915
430,7249,7956,7101,7950
431,7277,7986,7132,7985
432,7306,8018,7161,8019
433,7337,8049,7190,8053
434,7370,8081,7218,8086
435,7403,8112,7245,8119
436,7435,8143,7272,8152
437,7466,8174,7299,8185
438,7494,8205,7325,8216
439,7520,8237,7351,8245
440,7541,8268,7375,8270
441,7559,8296,7397,8292
442,7574,8320,7416,8311
443,7589,8339,7432,8329
444,7604,8354,7447,8345
445,7622,8365,7460,8362
446,7643,8376,7473,8379
447,7664,8389,7486,8397
448,7685,8406,7500,8416
449,7704,8427,7515,8434
450,7721,8451,7530,8452
451,7737,8477,7546,8470
452,7752,8501,7562,8487
453,7768,8524,7579,8505
454,7787,8544,7599,8524
455,7809,8565,7621,8545
456,7835,8587,7646,8568
457,7865,8612,7674,8595
458,7898,8643,7704,8627
459,7933,8680,7738,8664
460,7972,8723,7776,8707
461,8015,8773,7820,8758
462,8064,8828,7870,8817
463,8122,8891,7928,8883
464,8190,8960,7995,8957
465,8269,9037,8072,9038
466,8356,9120,8156,9125
467,8450,9209,8246,9218
468,8549,9301,8339,9315
469,8648,9394,8434,9415
470,8746,9487,8528,9515
471,8842,9578,8620,9613
472,8933,9665,8707,9708
473,9018,9748,8789,9796
474,9096,9823,8861,9876
475,9162,9889,8923,9945
476,9216,9943,8972,10000
477,9255,9983,9007,10041
478,9279,10007,9027,10066
479,9289,10015,9034,10075
480,9284,10009,9028,10071
481,9269,9992,9014,10054
482,9245,9967,8990,10029
483,9214,9935,8961,9997
484,9179,9900,8925,9960
485,9142,9862,8886,9919
486,9103,9823,8844,9876
487,9064,9786,8802,9833
488,9025,9750,8762,9792
489,8987,9718,8726,9752
490,8951,9691,8694,9717
491,8917,9667,8666,9687
492,8886,9647,8641,9661
493,8860,9630,8620,9640
494,8839,9617,8603,9625
495,8824,9607,8589,9614
496,8815,9600,8579,9607
497,8809,9597,8573,9604
498,8805,9595,8569,9602
499,8801,9595,8566,9601
500,8797,9597,8564,9602
501,8793,9601,8563,9603
502,8791,9606,8563,9605
503,8793,9614,8565,9609
504,8798,9623,8569,9612
505,8806,9632,8574,9615
506,8816,9641,8582,9619
507,8826,9650,8592,9622
508,8837,9659,8604,9626
509,8847,9669,8617,9632
510,8858,9680,8632,9642
511,8870,9694,8647,9655
512,8882,9711,8663,9671
513,8896,9730,8678,9691
514,8911,9750,8693,9712
515,8929,9769,8706,9734
516,8950,9788,8720,9756
517,8971,9806,8734,9779
518,8994,9823,8749,9800
519,9015,9840,8766,9821
520,9036,9857,8785,9840
521,9055,9876,8805,9858
522,9074,9894,8824,9875
523,9093,9911,8842,9892
524,9111,9927,8857,9908
525,9127,9941,8870,9923
526,9141,9955,8882,9937
527,9152,9969,8892,9951
528,9162,9983,8903,9965
529,9171,10000,8914,9980
530,9180,10018,8926,9994
531,9190,10037,8939,10009
532,9202,10054,8953,10024
533,9214,10070,8967,10037
534,9226,10084,8981,10050
535,9239,10096,8994,10061
536,9252,10109,9008,10071
537,9265,10123,9021,10081
538,9278,10139,9033,10093
539,9291,10157,9046,10106
540,9304,10176,9059,10121
541,9318,10195,9072,10138
542,9332,10212,9085,10155
543,9346,10229,9098,10172
544,9362,10245,9111,10190
545,9380,10262,9126,10210
546,9399,10280,9142,10232
547,9420,10301,9159,10257
548,9443,10324,9177,10285
549,9465,10350,9196,10313
550,9487,10378,9215,10340
551,9510,10405,9235,10365
552,9534,10433,9256,10389
553,9560,10460,9278,10410
554,9588,10486,9302,10431
555,9618,10511,9328,10452
556,9648,10537,9355,10475
